Domain,Question,FinalLabel
finance,Can we identify any trends in the delay reasons for the BOTTLES industry over the first two quarters of 2023?,Complex
finance,"What percentage of documents were paid on time for suppliers in the CANS industry with a Daily payment frequency, and how does this compare to those with a Bi-Monthly payment frequency?",Complex
finance,How does the supplier size impact the amount for documents paid on time in the Road - 1st Tier industry category?,Simple
finance,Are there any suppliers in the TRANSPORT industry that consistently meet the expected payment date across all quarters in 2023?,Simple
finance,What is the average delay days for the top 3 suppliers with the highest amount paid not on time in the INTERNAL NEED industry?,Simple
finance,Which industry categories have seen an improvement in the percentage of documents paid on time from Q1 to Q2 in 2023?,Simple
finance,How does the delay days KPI for suppliers with a 'Not On Time' pot_supplier_indicator compare to those with an 'On Time' indicator in the SALES industry?,Complex
finance,Can we identify the main reasons for payment delays for suppliers in the CANSHEETS industry with the highest amount paid not on time?,Complex
finance,What is the correlation between the number of documents paid not on time and the total amount paid not on time for suppliers in Canada?,Complex
finance,How does the average delay days for suppliers in the GHQ US region compare across different payment frequencies?,Simple
finance,What strategies have suppliers in the top 5 industries by amount paid not on time implemented to reduce their delay days?,Complex
finance,Can we identify any seasonal patterns in the payment behavior of suppliers in the BOTTLES industry across 2023?,Complex
finance,What is the impact of different document currencies on the delay days KPI for suppliers in the MAINTENANCE industry?,Complex
finance,Which suppliers in the LOGISTICS SUPPORT industry have the most consistent performance in terms of pot_supplier_indicator across all quarters in 2023?,Simple
finance,How does the document type affect the likelihood of a document being paid not on time in the INTERNAL NEED industry?,Complex
finance,What is the average amount paid not on time for suppliers in the CANS industry with a payment frequency of Daily versus Bi-Monthly?,Simple
finance,Can we determine the effectiveness of different payterm keys in reducing delay days for suppliers in the Road - 1st Tier industry category?,Complex
finance,What are the common characteristics of suppliers with the lowest percentage of documents paid on time in the SALES industry?,Complex
finance,How does the expected payment date deviation compare between the top 3 industries with the highest and lowest average delay days?,Simple
finance,What are the key factors contributing to the high amount of documents paid not on time in the TRANSPORT industry compared to the MAINTENANCE industry?,Complex
finance,Can we identify the top 5 suppliers with the most significant improvement in amount for documents paid on time from Q1 to Q2 in 2023?,Simple
finance,What strategies could potentially reduce the average delay days for suppliers in the LOGISTICS SUPPORT industry with a high number of documents paid not on time?,Complex
finance,"What is the total amount paid not on time to suppliers in each country, and which country has the highest total amount paid not on time?",Simple
finance,"How does the delay in payments (measured in delay days) correlate with the supplier size, specifically focusing on the top 10 suppliers with the highest amount of delayed payments?",Complex
finance,"For each industry category, what is the percentage of documents paid on time, and which industry category has the lowest percentage?",Simple
finance,"Can we identify any trends or patterns in the delay reasons for payments not made on time, particularly focusing on the top three reasons across all suppliers?",Complex
finance,"How does the payment frequency (Daily, Bi-Monthly, Monthly) impact the percentage of documents paid on time for the top 5 suppliers with the largest amount of transactions?",Complex
finance,"What is the relationship between the document type and the payment on time indicator, specifically identifying document types with the highest incidence of not on time payments?",Complex
finance,"In the context of supplier account groups, which group experiences the highest amount of payments not made on time, both in terms of number of documents and total amount?",Simple
finance,"For each quarter, how does the total amount for documents paid on time compare with the total amount paid not on time, and what can be inferred about the company's payment practices over time?",Complex
finance,"Within each region, which supplier has the highest number of delay days and what is the average delay days across all suppliers in that region?",Simple
finance,"What is the distribution of expected payment dates versus actual clearing dates for payments not made on time, and are there any specific time periods (e.g., end of quarter) where delays are more frequent?",Complex
